ats_vendor,board_token,board_name,n_jobs,n_au,au_ratio,n_au_data,sample_au_role,board_url
ashby,coderabbit,,47,2,0.043,0,Enterprise Field Engineer - Pre-sales - Australia ,https://api.ashbyhq.com/posting-api/job-board/coderabbit
ashby,delinea,,96,2,0.021,0,Senior Channels Sales manager,https://api.ashbyhq.com/posting-api/job-board/delinea
ashby,heirloomcarbon,,2,2,1.0,0,Senior Mechanical Engineer ,https://api.ashbyhq.com/posting-api/job-board/heirloomcarbon
ashby,netgear,,52,2,0.038,0,"Sr. Territory Account Manager, Enterprise Sales - ANZ",https://api.ashbyhq.com/posting-api/job-board/netgear
ashby,notion,,133,2,0.015,0,Business Development Representative,https://api.ashbyhq.com/posting-api/job-board/notion
ashby,ntegrity,,3,2,0.667,0,Join Our Freelance Network!,https://api.ashbyhq.com/posting-api/job-board/ntegrity
ashby,omni,,22,2,0.091,0,Business Development Representative - APAC,https://api.ashbyhq.com/posting-api/job-board/omni
ashby,renuity,,454,2,0.004,0,Retail Brand Ambassador - Urgently Hiring,https://api.ashbyhq.com/posting-api/job-board/renuity
ashby,stratum-ai,,11,2,0.182,0,Resource Geologist,https://api.ashbyhq.com/posting-api/job-board/stratum-ai
ashby,tactiq,,3,2,0.667,0,Principal Product Manager ,https://api.ashbyhq.com/posting-api/job-board/tactiq
ashby,vanta,,111,2,0.018,0,Account Executive- (Expression of Interest) APJ,https://api.ashbyhq.com/posting-api/job-board/vanta
ashby,vistar,,16,2,0.125,0,Account Executive,https://api.ashbyhq.com/posting-api/job-board/vistar
ashby,wetravel,,30,2,0.067,0,Client Onboarding Specialist - Sydney Office,https://api.ashbyhq.com/posting-api/job-board/wetravel
ashby,zuru,,72,2,0.028,0,Marketing Manager - Fragrance,https://api.ashbyhq.com/posting-api/job-board/zuru
smartrecruiters,HitachiSolutions,Hitachi Solutions,64,2,0.031,0,Sr. Solutions Architect - D365 F&O (Finance) (6-Month Fixed Term),https://api.smartrecruiters.com/v1/companies/HitachiSolutions/postings?limit=100
smartrecruiters,JuniorAdventuresGroup,Junior Adventures Group,100,2,0.02,0,OSHC Mobile Coordinator | Canberra,https://api.smartrecruiters.com/v1/companies/JuniorAdventuresGroup/postings?limit=100
smartrecruiters,integrateddermatology,Integrated Dermatology,100,2,0.02,0,OnSite Dermatology - Physician Assistant/ Nurse Practitioner - Part Ti,https://api.smartrecruiters.com/v1/companies/integrateddermatology/postings?limit=100
greenhouse,affirm,Affirm,205,1,0.005,0,Compliance Manager (Australia),https://boards-api.greenhouse.io/v1/boards/affirm/jobs
greenhouse,altanaai,Altana ,15,1,0.067,0,"Technical Delivery Manager, Government (Canberra)",https://boards-api.greenhouse.io/v1/boards/altanaai/jobs
greenhouse,arizeai,Arize AI,28,1,0.036,0,"Enterprise Account Executive, ANZ",https://boards-api.greenhouse.io/v1/boards/arizeai/jobs
greenhouse,armada,Armada,55,1,0.018,0,"Account Executive, APAC Defense",https://boards-api.greenhouse.io/v1/boards/armada/jobs
greenhouse,asana,Asana,113,1,0.009,0,"Sales Manager, SMB and Corporate",https://boards-api.greenhouse.io/v1/boards/asana/jobs
greenhouse,axicorpfinancialservicesptyltd,Axi,32,1,0.031,0,Legal Administrator (Maternity Cover),https://boards-api.greenhouse.io/v1/boards/axicorpfinancialservicesptyltd/jobs
greenhouse,beyond,Beyond,4,1,0.25,0,Business Development Representative,https://boards-api.greenhouse.io/v1/boards/beyond/jobs
greenhouse,breezeway,Breezeway,11,1,0.091,0,Sales Development Representative - APAC,https://boards-api.greenhouse.io/v1/boards/breezeway/jobs
greenhouse,bugcrowd,Bugcrowd,13,1,0.077,0,Security Program Manager (Part Time),https://boards-api.greenhouse.io/v1/boards/bugcrowd/jobs
greenhouse,carbonrobotics,Carbon Robotics,16,1,0.062,0,Field Marketing and Sales Support Specialist,https://boards-api.greenhouse.io/v1/boards/carbonrobotics/jobs
greenhouse,commvault,Commvault,69,1,0.014,0,"SaaS Sales Representative, ANZ",https://boards-api.greenhouse.io/v1/boards/commvault/jobs
greenhouse,constantcontact,Constant Contact,13,1,0.077,0,Inside Sales Consultant - Australia,https://boards-api.greenhouse.io/v1/boards/constantcontact/jobs
greenhouse,convera,Convera,61,1,0.016,0,"Portfolio Manager, Business Clients (FX & Payments)",https://boards-api.greenhouse.io/v1/boards/convera/jobs
greenhouse,corelight,Job Board,27,1,0.037,0,Sr. Escalations Engineer,https://boards-api.greenhouse.io/v1/boards/corelight/jobs
greenhouse,correlationone,Correlation One,26,1,0.038,0,Lead Instructor: Data Center Technician (Data Center Technician 8),https://boards-api.greenhouse.io/v1/boards/correlationone/jobs
greenhouse,darkwolfsolutions,Dark Wolf Solutions,62,1,0.016,0,Tenant Onboarding Specialist,https://boards-api.greenhouse.io/v1/boards/darkwolfsolutions/jobs
greenhouse,datavant2,Datavant,169,1,0.006,0,Health Information Specialist I ,https://boards-api.greenhouse.io/v1/boards/datavant2/jobs
greenhouse,dodgshunmedlin,Dodgshun Medlin,5,1,0.2,0,You should see my CV,https://boards-api.greenhouse.io/v1/boards/dodgshunmedlin/jobs
greenhouse,echodynecorp,Echodyne Corp,45,1,0.022,0,APAC Business Development Director,https://boards-api.greenhouse.io/v1/boards/echodynecorp/jobs
greenhouse,enboarder,Enboarder,5,1,0.2,0,Other Careers in APAC,https://boards-api.greenhouse.io/v1/boards/enboarder/jobs
greenhouse,evergreenservicesgroup,Evergreen Services Group,6,1,0.167,0,Operating Executive - ANZ,https://boards-api.greenhouse.io/v1/boards/evergreenservicesgroup/jobs
greenhouse,extrahopnetworks,ExtraHop,18,1,0.056,0,"Customer Success Engineer, Australia ",https://boards-api.greenhouse.io/v1/boards/extrahopnetworks/jobs
greenhouse,federato,Federato,7,1,0.143,0,Customer Engineer (Pre-Sales) ANZ,https://boards-api.greenhouse.io/v1/boards/federato/jobs
greenhouse,fireblocks,Fireblocks,71,1,0.014,0,"Sales Director, Australia (Sydney)",https://boards-api.greenhouse.io/v1/boards/fireblocks/jobs
greenhouse,flexport,Flexport,175,1,0.006,0,Senior Sales Executive,https://boards-api.greenhouse.io/v1/boards/flexport/jobs
greenhouse,flyzipline,Zipline ,339,1,0.003,0,Australia Community Engagement Fellowship,https://boards-api.greenhouse.io/v1/boards/flyzipline/jobs
greenhouse,geotab,Geotab,102,1,0.01,0,Business Development Manager (Remote),https://boards-api.greenhouse.io/v1/boards/geotab/jobs
greenhouse,go1au,Go1 Australia,1,1,1.0,0,Finance Systems Engineer,https://boards-api.greenhouse.io/v1/boards/go1au/jobs
greenhouse,gofundme,GoFundMe,41,1,0.024,0,IT Administrator I,https://boards-api.greenhouse.io/v1/boards/gofundme/jobs
greenhouse,grafanalabs,Grafana Labs,131,1,0.008,0,"Senior Commercial Account Executive, Acquisition | Melbourne | Remote",https://boards-api.greenhouse.io/v1/boards/grafanalabs/jobs
greenhouse,guidepoint,Guidepoint,125,1,0.008,0,Client Service Intern,https://boards-api.greenhouse.io/v1/boards/guidepoint/jobs
greenhouse,hootsuite,Hootsuite,24,1,0.042,0,Customer Success Manager (12 month Contract) ,https://boards-api.greenhouse.io/v1/boards/hootsuite/jobs
greenhouse,humanrightswatch,Human Rights Watch,12,1,0.083,0,"Associate, Development and Outreach",https://boards-api.greenhouse.io/v1/boards/humanrightswatch/jobs
greenhouse,jumpcrypto,Jump Crypto,5,1,0.2,0,Crypto Production Engineer,https://boards-api.greenhouse.io/v1/boards/jumpcrypto/jobs
greenhouse,just-global,Just Global,8,1,0.125,0,"Senior Manager, Media",https://boards-api.greenhouse.io/v1/boards/just-global/jobs
greenhouse,liveperson,LivePerson,17,1,0.059,0,Technical Escalation Lead,https://boards-api.greenhouse.io/v1/boards/liveperson/jobs
greenhouse,lucidsoftware,Lucid Software,31,1,0.032,0,APAC Business Development Representative,https://boards-api.greenhouse.io/v1/boards/lucidsoftware/jobs
greenhouse,mintel,Mintel,22,1,0.045,0,"Account Director, Australia",https://boards-api.greenhouse.io/v1/boards/mintel/jobs
greenhouse,mx51,mx51,1,1,1.0,0,Senior Partnerships Manager,https://boards-api.greenhouse.io/v1/boards/mx51/jobs
greenhouse,nextrollinc,NextRoll Inc.,1,1,1.0,0,Account Executive and Senior Account Executive - Future Opportunity,https://boards-api.greenhouse.io/v1/boards/nextrollinc/jobs
greenhouse,nflcareers,The National Football League,50,1,0.02,0,"Senior Manager, New Business Development & Emerging Markets, Australia",https://boards-api.greenhouse.io/v1/boards/nflcareers/jobs
greenhouse,obsidiansecurity,Obsidian Security,25,1,0.04,0,Technical Account Manager - (AU),https://boards-api.greenhouse.io/v1/boards/obsidiansecurity/jobs
greenhouse,opswat,OPSWAT,83,1,0.012,0,Joint Professional Services - Technical Support Engineer in Australia,https://boards-api.greenhouse.io/v1/boards/opswat/jobs
greenhouse,orcasecurity,Orca Security,12,1,0.083,0,Sales Engineer ,https://boards-api.greenhouse.io/v1/boards/orcasecurity/jobs
greenhouse,pulse,Pulse Healthcare,2648,1,0.0,0,Consultant/Staff Specialist in Forensic Psychiatry - Swap the commute ,https://boards-api.greenhouse.io/v1/boards/pulse/jobs
greenhouse,recordedfuture,Recorded Future,44,1,0.023,0,APJ Accounting Manager,https://boards-api.greenhouse.io/v1/boards/recordedfuture/jobs
greenhouse,referralsuseonly,Referral Board,108,1,0.009,0,Senior Solution Architect - Sydney based,https://boards-api.greenhouse.io/v1/boards/referralsuseonly/jobs
greenhouse,remotereferralboardinternaluseonly,Remote - Referral Board,71,1,0.014,0,Sales Development Representative - Australia/ New Zealand,https://boards-api.greenhouse.io/v1/boards/remotereferralboardinternaluseonly/jobs
greenhouse,reolink,Reolink,68,1,0.015,0,Marketing Manager (ANZ),https://boards-api.greenhouse.io/v1/boards/reolink/jobs
greenhouse,rimestechnologies,Rimes Technologies,18,1,0.056,0,Office Manager & People Coordinator (Part-Time),https://boards-api.greenhouse.io/v1/boards/rimestechnologies/jobs
greenhouse,sigmacomputing,Sigma Computing,67,1,0.015,0,Enterprise Account Executive (AUS),https://boards-api.greenhouse.io/v1/boards/sigmacomputing/jobs
greenhouse,sumologic,Sumo Logic,15,1,0.067,0,Senior Solutions Engineer,https://boards-api.greenhouse.io/v1/boards/sumologic/jobs
greenhouse,taboola,Taboola,86,1,0.012,0,Sales Manager - Sydney,https://boards-api.greenhouse.io/v1/boards/taboola/jobs
greenhouse,teads1,Teads,68,1,0.015,0,"Partner Manager, ANZ",https://boards-api.greenhouse.io/v1/boards/teads1/jobs
greenhouse,tenstorrent,Tenstorrent,127,1,0.008,0,"Sr. Staff Engineer, RISC-V Software Workload Enablement",https://boards-api.greenhouse.io/v1/boards/tenstorrent/jobs
greenhouse,tripledotstudios,Tripledot Studios,78,1,0.013,0,Lead Creative Strategist,https://boards-api.greenhouse.io/v1/boards/tripledotstudios/jobs
greenhouse,verifone,Verifone,39,1,0.026,0,Compliance Officer,https://boards-api.greenhouse.io/v1/boards/verifone/jobs
greenhouse,workatbackbase,Backbase,43,1,0.023,0,Sr Account Executive,https://boards-api.greenhouse.io/v1/boards/workatbackbase/jobs
greenhouse,zenoti,Zenoti,45,1,0.022,0,Sales Development Representative,https://boards-api.greenhouse.io/v1/boards/zenoti/jobs
greenhouse,zetaglobal,Zeta Global,140,1,0.007,0,Solution Architect,https://boards-api.greenhouse.io/v1/boards/zetaglobal/jobs
ashby,Coder,,30,1,0.033,0,Enterprise Account Manager (APAC),https://api.ashbyhq.com/posting-api/job-board/Coder
ashby,Clipbook,,7,1,0.143,0,Enterprise Intelligence Associate – Australia / NZ,https://api.ashbyhq.com/posting-api/job-board/Clipbook
ashby,Dandy,,79,1,0.013,0,Event Marketing Manager - ANZ,https://api.ashbyhq.com/posting-api/job-board/Dandy
ashby,Gorgias,,17,1,0.059,0,Customer Implementation Manager (APAC),https://api.ashbyhq.com/posting-api/job-board/Gorgias
ashby,Rogo,,82,1,0.012,0,"Advisory, Australia",https://api.ashbyhq.com/posting-api/job-board/Rogo
ashby,SiteMinder,,35,1,0.029,0,Company Secretary,https://api.ashbyhq.com/posting-api/job-board/SiteMinder
ashby,adaptivesecurity,,13,1,0.077,0,Senior Account Executive,https://api.ashbyhq.com/posting-api/job-board/adaptivesecurity
ashby,auror,,13,1,0.077,0,Marketing Specialist,https://api.ashbyhq.com/posting-api/job-board/auror
ashby,clickhouse,,177,1,0.006,0,Senior Consulting Engineer - Australia,https://api.ashbyhq.com/posting-api/job-board/clickhouse
ashby,exa,,55,1,0.018,0,"Sales Development Representative, Sydney",https://api.ashbyhq.com/posting-api/job-board/exa
ashby,fieldguide,,43,1,0.023,0,"Director, GTM APAC",https://api.ashbyhq.com/posting-api/job-board/fieldguide
ashby,filigran,,16,1,0.062,0,Senior Customer Training Consultant (Australia) ,https://api.ashbyhq.com/posting-api/job-board/filigran
ashby,gen-digital,,124,1,0.008,0,Partner Success Manager,https://api.ashbyhq.com/posting-api/job-board/gen-digital
ashby,iceye,,189,1,0.005,0,"Business Development Manager, ANZ",https://api.ashbyhq.com/posting-api/job-board/iceye
ashby,instructure,,44,1,0.023,0,"Customer Success Manager, APAC",https://api.ashbyhq.com/posting-api/job-board/instructure
ashby,kodex,,4,1,0.25,0,Threat Intelligence Specialist – APAC (Australia Applicants Only),https://api.ashbyhq.com/posting-api/job-board/kodex
ashby,lilt-production,,400,1,0.003,0,Voice Talent - Australian English - Remote,https://api.ashbyhq.com/posting-api/job-board/lilt-production
ashby,mindbeam,,2,1,0.5,0,Solutions Architect - Contractor,https://api.ashbyhq.com/posting-api/job-board/mindbeam
ashby,netboxlabs,,14,1,0.071,0,Senior Customer Support Engineer ,https://api.ashbyhq.com/posting-api/job-board/netboxlabs
ashby,nexxen,,23,1,0.043,0,Workplace Experience Coordinator - APAC,https://api.ashbyhq.com/posting-api/job-board/nexxen
ashby,openai-deployment-company,,11,1,0.091,0,Forward Deployed Engineer - AUS,https://api.ashbyhq.com/posting-api/job-board/openai-deployment-company
ashby,orchard,,25,1,0.04,0,Senior Enterprise Account Executive [Australia],https://api.ashbyhq.com/posting-api/job-board/orchard
ashby,pano-ai,,17,1,0.059,0,"Senior Customer Success Manager, Australia",https://api.ashbyhq.com/posting-api/job-board/pano-ai
ashby,pebl,,36,1,0.028,0,Account Executive — Australia,https://api.ashbyhq.com/posting-api/job-board/pebl
ashby,point-one-navigation,,11,1,0.091,0,Network Customer Support Engineer,https://api.ashbyhq.com/posting-api/job-board/point-one-navigation
ashby,redis,,21,1,0.048,0,"Regional Account Executive, Australia",https://api.ashbyhq.com/posting-api/job-board/redis
ashby,sardine,,39,1,0.026,0,"Solutions Architect, Integrations (AUS)",https://api.ashbyhq.com/posting-api/job-board/sardine
ashby,sentry,,41,1,0.024,0,Senior Technical Support Engineer,https://api.ashbyhq.com/posting-api/job-board/sentry
ashby,skip-loans,,1,1,1.0,0,Broker Business Development Manager,https://api.ashbyhq.com/posting-api/job-board/skip-loans
ashby,tilthq,,27,1,0.037,0,"Senior Backend Engineer, Cashalo",https://api.ashbyhq.com/posting-api/job-board/tilthq
ashby,trm-labs,,109,1,0.009,0,"Account Director, Public Sector - (Australia and New Zealand)",https://api.ashbyhq.com/posting-api/job-board/trm-labs
ashby,trulioo,,48,1,0.021,0,Account Executive,https://api.ashbyhq.com/posting-api/job-board/trulioo
ashby,valerie-group,,8,1,0.125,0,IT Manager,https://api.ashbyhq.com/posting-api/job-board/valerie-group
ashby,vow,,1,1,1.0,0,Counsel / Senior Counsel,https://api.ashbyhq.com/posting-api/job-board/vow
ashby,wayflyer,,13,1,0.077,0,Senior Account Executive,https://api.ashbyhq.com/posting-api/job-board/wayflyer
smartrecruiters,Experian,Experian,100,1,0.01,0,Customer Success Manager – GTM,https://api.smartrecruiters.com/v1/companies/Experian/postings?limit=100
smartrecruiters,HMGroup,H&M Group,100,1,0.01,0,Assistant Store Manager - GPO Melbourne,https://api.smartrecruiters.com/v1/companies/HMGroup/postings?limit=100
smartrecruiters,HarrierTalentSolutions,Harrier,2,1,0.5,0,Talent Acquisition Specialist,https://api.smartrecruiters.com/v1/companies/HarrierTalentSolutions/postings?limit=100
smartrecruiters,JACOBSDOUWEEGBERTS,JACOBS DOUWE EGBERTS,100,1,0.01,0,Customer Service Team Leader,https://api.smartrecruiters.com/v1/companies/JACOBSDOUWEEGBERTS/postings?limit=100
smartrecruiters,ReitmansCanadaLteLtd,Reitmans (Canada) Ltée/Ltd,100,1,0.01,0,Keyholder (Part time) - Mayflower,https://api.smartrecruiters.com/v1/companies/ReitmansCanadaLteLtd/postings?limit=100
smartrecruiters,Sandisk,Sandisk,100,1,0.01,0,Sales Manager (Channel),https://api.smartrecruiters.com/v1/companies/Sandisk/postings?limit=100
smartrecruiters,VusionGroupSA,VusionGroup SA,54,1,0.019,0,Program Manager,https://api.smartrecruiters.com/v1/companies/VusionGroupSA/postings?limit=100
smartrecruiters,WAM,WAM,10,1,0.1,0,Client Services Officer,https://api.smartrecruiters.com/v1/companies/WAM/postings?limit=100
